hotel name,phone,email,link
Avartana, Chennai,914422000000;,,
Dakshin, Chennai,914424994101;,cpchennai@ihg.com;,
Ottimo Cucina Italiana, Chennai,914422200000;,itcgrandchola@itchotels.in;,
Pan Asian, Chennai,661553600791250;914422200000;661553600791061;661553600791654;,itcgrandchola@itchotels.in;,
The Residency, Chennai,61553600794389;914424994101;61553600794192;61553600794592;,residency@cpchennai.com;,
Paprika, Chennai,914471764000;,kurian@marriott.com;,
Peshawri, Chennai,914422200000;,itcgrandchola@itchotels.in;sentry@www.tripadvisor;,
Madras Pavilion, Chennai,914422200000;,itcgrandchola@itchotels.in;,
Seasonal Tastes, Chennai,914422553366;55309937978;,chennai@westin.com;sentry@www.tripadvisor;,
Annalakshmi Restaurant, Chennai,914428368333;,chennai@yahoo.co;,
Royal Vega, Chennai,914422200000;,itcgrandchola@itchotels.in;,
Vasco's, Chennai,914422255555;,salesadm@hilton.com;,
Up North, Chennai,914428309999;855992214294790;,annasalai@raintreehotels.com;,
Sunset Grill, Chennai,918939892027;,westinchennai@gmail.com;,
Cafe Mercara Express, Chennai,914422200000;,,
Willows Lounge Bar, Chennai,918939892051;,,
Sangeetha Veg Restaurant, Chennai,914443550010;,,
Five Sen5es, Chennai,914466333777;,chennai@westin.com;,
Benjarong, Chennai,914424322640;,benjarong@orientalcuisines.in;,
The Flying Elephant, Chennai,914471771234;,park@hyatt.com;,
