company,current market status
Reliance Industries Ltd.,3.16%
Tata Consultancy Services Ltd.,-0.26%
HDFC Bank Ltd.,1.24%
Hindustan Unilever Ltd.,0.64%
ITC Ltd.,-0.68%
Housing Development Finance Corporation Ltd.,-0.01%
Infosys Ltd.,-1.23%
State Bank Of India,3.23%
Kotak Mahindra Bank Ltd.,2.60%
ICICI Bank Ltd.,2.75%
Oil & Natural Gas Corporation Ltd.,0.47%
Maruti Suzuki India Ltd.,0.85%
Axis Bank Ltd.,1.79%
Larsen & Toubro Ltd.,-0.37%
Bajaj Finance Ltd.,2.72%
Coal India Ltd.,-0.08%
Asian Paints Ltd.,2.02%
HCL Technologies Ltd.,1.73%
NTPC Ltd.,3.28%
Bharti Airtel Ltd.,0.31%
Sun Pharmaceutical Industries Ltd.,1.11%
Power Grid Corporation Of India Ltd.,0.59%
IndusInd Bank Ltd.,1.84%
Bajaj Auto Ltd.,-0.85%
Mahindra & Mahindra Ltd.,0.74%
Vedanta Ltd.,3.18%
Tata Steel Ltd.,0.72%
Yes Bank Ltd.,2.71%
Hero MotoCorp Ltd.,0.61%
Tata Motors Ltd.,1.02%
